#gene_id	isoform_psi_value
ENSMUSG00000049741	ENSMUST00000063119:0
ENSMUSG00000105512	ENSMUST00000198351:1.0
ENSMUSG00000028060	ENSMUST00000029696:0.2821009805542573,ENSMUST00000200588:0.005263383818673345,ENSMUST00000198042:0.0,ENSMUST00000199684:0.48341674840864673,ENSMUST00000200364:0.03322815794915547,ENSMUST00000198078:0.0,ENSMUST00000197300:0.0,ENSMUST00000200438:0.01769864246309552,ENSMUST00000198721:0.1782920868061716,ENSMUST00000200622:0.0
ENSMUSG00000105448	ENSMUST00000197479:1.0
ENSMUSG00000105288	ENSMUST00000198589:0
ENSMUSG00000084433	ENSMUST00000122484:1.0
ENSMUSG00000028057	ENSMUST00000029692:0.19111001217237134,ENSMUST00000171645:0.029668932416924615,ENSMUST00000165846:0.0,ENSMUST00000170377:0.0,ENSMUST00000166234:0.2812092644115556,ENSMUST00000172333:0.187871671353342,ENSMUST00000172252:0.2447191714551303,ENSMUST00000172187:0.06542094819067619
ENSMUSG00000091881	ENSMUST00000108464:1.0
ENSMUSG00000104333	ENSMUST00000194270:0
ENSMUSG00000068923	ENSMUST00000107503:0.27676862134890884,ENSMUST00000107505:0.07922219997768536,ENSMUST00000090945:0.07821634161421576,ENSMUST00000183267:0.00011562034198446678,ENSMUST00000130869:0.5656772167172057
ENSMUSG00000078684	ENSMUST00000135913:1.0
ENSMUSG00000098912	ENSMUST00000184014:0.021615334710954046,ENSMUST00000183374:0.0,ENSMUST00000184640:0.0,ENSMUST00000183966:0.2095600984834648,ENSMUST00000185189:0.0,ENSMUST00000183707:0.7590803398694811,ENSMUST00000184958:0.0,ENSMUST00000184170:0.0,ENSMUST00000184013:0.009744226936100097
ENSMUSG00000054199	ENSMUST00000107498:0.01752242629428181,ENSMUST00000081695:0.0,ENSMUST00000090942:0.5256325513375053,ENSMUST00000212694:0.08551886377004549,ENSMUST00000198113:0.37132615859816737
ENSMUSG00000106218	ENSMUST00000198251:1.0
ENSMUSG00000064738	ENSMUST00000082804:0
ENSMUSG00000068922	ENSMUST00000107494:0.0444513744195414,ENSMUST00000137243:0.5037854804555645,ENSMUST00000126245:0.0,ENSMUST00000147828:0.4517631451248941,ENSMUST00000128988:0.0
ENSMUSG00000065236	ENSMUST00000083302:0
ENSMUSG00000068921	ENSMUST00000090938:0.011773487092440551,ENSMUST00000173711:0.26949547914128613,ENSMUST00000107491:0.5105222543526515,ENSMUST00000174571:3.935427577907804e-08,ENSMUST00000173094:0.02205780096829135,ENSMUST00000173135:0.01843270725899714,ENSMUST00000174077:0.0,ENSMUST00000173021:0.13752537696875322,ENSMUST00000174402:0.0,ENSMUST00000172942:0.0,ENSMUST00000174491:0.023490230042292504,ENSMUST00000188259:0.00670262482101195,ENSMUST00000172790:0.0
